Date Time,MW,Mvar,EXC CURRENT,TEMP CG D/STR CLR,TEMP STR SLOT TE,TEMP STR SLOT TE,PRES AMBIENT AIR,MEDIAN GEN CURRENT,F STR WTR D/STR BSHG U1,GEN VOLTAGE L1-L2
9/23/2021 12:40:00 AM,582.9688,88.11334,3429.543,43.90001,68.60001,68.60001,1003.971,16.13108,3.264041,20.98072
9/23/2021 12:41:00 AM,569.2188,80.40399,3357.566,43.90001,68.60001,68.60001,1003.971,15.79253,3.25524,20.90748
9/23/2021 12:42:00 AM,573.3333,89.06567,3396.267,43.90001,68.60001,68.60001,1003.971,15.88194,3.246078,20.90748
9/23/2021 12:43:00 AM,575.5208,92.64825,3422.309,43.90001,68.60001,68.60001,1003.971,15.97656,3.261992,20.90748
9/23/2021 12:44:00 AM,573.0208,94.59827,3422.309,43.90001,68.60001,68.60001,1003.971,15.84722,3.261992,20.98072
9/23/2021 12:45:00 AM,574.6875,101.3553,3449.436,43.90001,68.60001,68.60001,1003.971,16.02691,3.247645,20.98072
9/23/2021 12:46:00 AM,578.75,92.7843,3433.16,43.90001,68.60001,68.60001,1003.971,16.09549,3.254638,20.98072
9/23/2021 12:47:00 AM,571.25,102.489,3451.606,43.90001,68.60001,68.60001,1003.971,15.84722,3.254638,20.98072
9/23/2021 12:48:00 AM,581.4583,105.6635,3495.732,43.90001,68.60001,68.60001,1003.971,16.09549,3.249574,20.98072
9/23/2021 12:49:00 AM,586.1458,95.82269,3472.222,43.90001,68.60001,68.60001,1003.971,16.22049,3.262474,20.98072
9/23/2021 12:50:00 AM,588.2813,101.8088,3508.391,43.90001,68.60001,68.60001,1003.971,16.32639,3.239688,20.98072
9/23/2021 12:51:00 AM,586.7188,105.2553,3508.391,43.90001,68.60001,68.60001,1003.971,16.32639,3.258375,20.98072
9/23/2021 12:52:00 AM,584.8438,105.6635,3508.391,43.90001,68.60001,68.60001,1003.971,16.20313,3.25524,21.0187
9/23/2021 12:53:00 AM,583.2291,97.00177,3471.137,43.90001,68.60001,68.60001,1003.971,16.27431,3.25524,21.0187
9/23/2021 12:54:00 AM,582.2396,99.58667,3471.137,43.90001,68.60001,68.60001,1003.906,16.16754,3.25524,20.997
9/23/2021 12:55:00 AM,588.8541,97.04712,3484.881,44,68.80002,68.80002,1003.906,16.34549,3.260786,20.997
9/23/2021 12:56:00 AM,583.4896,92.24011,3454.499,44,68.80002,68.80002,1003.906,16.1849,3.260786,20.997
9/23/2021 12:57:00 AM,573.3333,82.7168,3383.97,44,68.80002,68.80002,1003.906,15.81163,3.248007,20.94455
