 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 12:45:00 AM,25.35016,623.4896,4.043944,1.159184,1.169673,1.169312,96.37153,96.24059
9/5/2021 12:46:00 AM,16.86987,623.2291,4.043944,1.159184,1.158099,1.162439,96.37153,96.24059
9/5/2021 12:47:00 AM,19.09198,625.4166,4.043944,1.156653,1.151227,1.145441,96.37153,96.24059
9/5/2021 12:48:00 AM,24.57922,623.8021,4.043944,1.156653,1.158823,1.159546,96.37153,96.24059
9/5/2021 12:49:00 AM,12.96985,624.4271,4.043944,1.160993,1.163163,1.162801,96.37153,96.24059
9/5/2021 12:50:00 AM,17.09662,621.6666,4.043944,1.157014,1.1581,1.162801,96.37153,96.24059
9/5/2021 12:51:00 AM,23.3548,623.2813,4.043944,1.157014,1.154482,1.16027,96.37153,96.24059
9/5/2021 12:52:00 AM,24.44318,625.4688,4.043944,1.154483,1.154482,1.152674,96.37153,96.24059
9/5/2021 12:53:00 AM,10.61169,625.9375,4.043944,1.159908,1.16027,1.160993,96.37153,96.24059
9/5/2021 12:54:00 AM,10.65704,620.5729,4.043944,1.154483,1.157014,1.160993,96.37153,96.24059
9/5/2021 12:55:00 AM,10.65704,625.2083,4.043944,1.157014,1.157014,1.160993,96.37153,96.24059
9/5/2021 12:56:00 AM,10.02216,624.8438,4.043944,1.157014,1.157014,1.160993,96.37153,96.24059
9/5/2021 12:57:00 AM,12.56171,622.7083,4.043944,1.157014,1.157014,1.158099,96.37153,96.24059
9/5/2021 12:58:00 AM,9.886108,623.8541,4.043461,1.149781,1.157014,1.157014,96.37153,96.24059
