Date Time,MW,Mvar,EXC CURRENT,TEMP CG D/STR CLR,TEMP WARM GAS U/STR CLR,TEMP STR SLOT TE,PRES AMBIENT AIR,MEDIAN GEN CURRENT,F STR WTR D/STR BSHG U1,GEN VOLTAGE L1-L2
9/20/2021 12:00:00 AM,562.2916,-16.05359,3076.895,41.5,57.30002,62.39999,1005.664,15.82899,3.249815,20.36946
9/20/2021 12:01:00 AM,557.5521,-16.96057,3046.152,41.60001,57.5,62.39999,1005.664,15.72483,3.249815,20.36946
9/20/2021 12:02:00 AM,535.9375,-25.53156,2934.389,41.7,57.70001,62.89999,1005.664,15.2092,3.249815,20.36946
9/20/2021 12:03:00 AM,522.2396,-25.12341,2872.179,41.7,57.80002,62.89999,1005.664,14.83247,3.244269,20.36946
9/20/2021 12:04:00 AM,526.4583,-15.5094,2909.794,41.7,57.70001,63.30002,1005.664,14.79167,3.245475,20.36946
9/20/2021 12:05:00 AM,526.9271,-11.88147,2955.729,41.8,57.70001,63.30002,1005.664,14.75868,3.257411,20.36946
9/20/2021 12:06:00 AM,545.6771,-9.432617,2986.473,41.8,57.70001,63.30002,1005.664,15.41927,3.25295,20.36946
9/20/2021 12:07:00 AM,559.1146,-12.10822,3035.663,41.8,57.70001,63.60001,1005.664,15.81163,3.25295,20.36946
9/20/2021 12:08:00 AM,542.9166,-7.890747,2998.408,41.90001,58,63.60001,1005.577,15.27778,3.25295,20.40563
9/20/2021 12:09:00 AM,530.5729,-10.74774,2948.495,41.90001,58,63.60001,1005.577,15.02865,3.25295,20.40563
9/20/2021 12:10:00 AM,549.8438,-15.73615,2996.962,42,58,63.60001,1005.577,15.54427,3.25295,20.40563
9/20/2021 12:11:00 AM,557.4479,-10.92914,3046.152,42,58.10001,63.89999,1005.577,15.66927,3.25295,20.40563
9/20/2021 12:12:00 AM,547.2396,-20.81525,2991.175,42,58.20001,63.89999,1005.577,15.45573,3.25295,20.40563
9/20/2021 12:13:00 AM,534.2708,-15.46405,2957.899,42,58.20001,63.89999,1005.577,15.06337,3.25295,20.38755
9/20/2021 12:14:00 AM,509.8438,-17.77686,2861.69,42.10001,58.20001,63.89999,1005.577,14.35069,3.25295,20.38755
9/20/2021 12:15:00 AM,511.9791,-17.77686,2839.988,42.10001,58.20001,63.89999,1005.577,14.35069,3.245234,20.38755
9/20/2021 12:16:00 AM,530,-19.22803,2914.496,42.10001,58.10001,64.10001,1005.577,14.95747,3.277544,20.38755
9/20/2021 12:17:00 AM,549.8958,-14.19427,3000.217,42.10001,58.10001,64.10001,1005.577,15.50868,3.256084,20.38755
9/20/2021 12:18:00 AM,559.0625,-14.19427,3022.28,42.10001,58.10001,64.10001,1005.577,15.75781,3.256084,20.38755
9/20/2021 12:19:00 AM,559.0625,-15.87219,3048.322,42.10001,58.30002,64.10001,1005.577,15.75781,3.256084,20.38755
9/20/2021 12:20:00 AM,567.1354,-12.69775,3064.236,42.2,58.30002,64.10001,1005.577,16.00521,3.252227,20.38755
9/20/2021 12:21:00 AM,571.5104,-14.51172,3074.363,42.2,58.39999,64.10001,1005.577,16.13108,3.257893,20.38755
9/20/2021 12:22:00 AM,549.4271,-23.2641,2977.069,42.2,58.5,64.10001,1005.577,15.41927,3.257893,20.38755
9/20/2021 12:23:00 AM,524.8958,-24.98737,2897.859,42.3,58.60001,64.39999,1005.577,14.85069,3.257893,20.35048
9/20/2021 12:24:00 AM,522.1875,-22.62921,2870.37,42.3,58.60001,64.39999,1005.577,14.61892,3.249815,20.35048
9/20/2021 12:25:00 AM,487.8125,-26.61993,2730.758,42.3,58.5,64.39999,1005.577,13.83247,3.249815,20.35048
9/20/2021 12:26:00 AM,500.2604,-25.21411,2781.395,42.2,58.20001,64.39999,1005.577,14.19271,3.249815,20.35048
9/20/2021 12:27:00 AM,513.1771,-19.04663,2833.116,42.2,58.10001,64.39999,1005.469,14.56597,3.253673,20.38755
9/20/2021 12:28:00 AM,527.9166,-19.04663,2905.093,42.2,58,64.39999,1005.469,14.95486,3.253673,20.38755
9/20/2021 12:29:00 AM,541.8229,-20.27106,2954.282,42.2,58.10001,64.39999,1005.469,15.25868,3.260545,20.38755
9/20/2021 12:30:00 AM,551.3541,-18.59314,2988.281,42.2,58.20001,64.39999,1005.469,15.50868,3.247284,20.38755
9/20/2021 12:31:00 AM,567.0833,-10.1582,3104.022,42.2,58.30002,64.39999,1005.469,15.95313,3.247284,20.38755
9/20/2021 12:32:00 AM,546.6666,-18.13965,2987.919,42.3,58.5,64.39999,1005.469,15.40191,3.243064,20.38755
9/20/2021 12:33:00 AM,515.7813,-27.25482,2836.733,42.3,58.5,64.39999,1005.469,14.63628,3.25295,20.35048
9/20/2021 12:34:00 AM,487.2917,-28.93274,2729.673,42.3,58.5,64.39999,1005.469,13.86719,3.25295,20.35048
9/20/2021 12:35:00 AM,480.8333,-33.83044,2676.505,42.3,58.30002,64.39999,1005.469,13.68924,3.261992,20.35048
9/20/2021 12:36:00 AM,472.9688,-31.24554,2702.908,42.3,58.10001,64.39999,1005.469,13.42101,3.242823,20.35048
9/20/2021 12:37:00 AM,472.4479,-30.15717,2661.313,42.2,57.89999,64.39999,1005.469,13.34896,3.264524,20.35048
9/20/2021 12:38:00 AM,493.1771,-25.21411,2766.927,42.2,57.80002,64.39999,1005.339,13.92188,3.242461,20.35048
9/20/2021 12:39:00 AM,508.8021,-22.81061,2817.925,42.2,57.80002,64.39999,1005.339,14.40365,3.251623,20.35048
9/20/2021 12:40:00 AM,517.4479,-19.13733,2874.349,42.2,57.80002,64,1005.339,14.63628,3.251623,20.35048
9/20/2021 12:41:00 AM,543.2291,-17.36871,2955.367,42.2,57.80002,64,1005.339,15.27778,3.251623,20.38755
9/20/2021 12:42:00 AM,550.9896,-23.40015,2979.601,42.2,58.10001,64,1005.339,15.57899,3.251623,20.38755
9/20/2021 12:43:00 AM,551.0416,-19.95361,3018.663,42.2,58.20001,64,1005.339,15.65104,3.252467,20.35048
9/20/2021 12:44:00 AM,557.4479,-12.42566,3051.938,42.2,58.30002,64,1005.339,15.72135,3.252467,20.35048
9/20/2021 12:45:00 AM,572.4479,-19.81757,3072.917,42.3,58.5,64,1005.339,16.07813,3.257531,20.35048
9/20/2021 12:46:00 AM,574.0625,-19.81757,3079.065,42.3,58.70001,64,1005.252,16.1849,3.262233,20.35048
9/20/2021 12:47:00 AM,581.4063,-16.64313,3123.553,42.3,58.70001,64,1005.252,16.39844,3.255843,20.35048
9/20/2021 12:48:00 AM,569.7916,-14.82916,3080.874,42.40001,58.89999,64,1005.252,16.02517,3.255843,20.35048
